Restaurant Name,average_rating,popularity
Cafe Coffee Day,2.419277108433735,83
Domino's Pizza,2.740506329113924,79
Subway,2.907936507936508,63
Green Chick Chop,2.6725490196078434,51
McDonald's,3.3395833333333336,48
Keventers,2.8705882352941177,34
Pizza Hut,3.32,30
Giani,2.689655172413793,29
Baskin Robbins,1.8607142857142858,28
Barbeque Nation,4.353846153846154,26
Barista,3.0727272727272723,22
Dunkin' Donuts,3.1363636363636362,22
Giani's,2.7818181818181817,22
Pind Balluchi,2.63,20
Costa Coffee,2.415,20
Wah Ji Wah,2.3421052631578947,19
Twenty Four Seven,2.1473684210526316,19
Pizza Hut Delivery,2.6578947368421053,19
Sagar Ratna,2.9631578947368418,19
KFC,2.7444444444444445,18
Starbucks,3.8055555555555554,18
Republic of Chicken,2.4222222222222225,18
Chaayos,3.5388888888888888,18
Burger King,3.40625,16
Haldiram's,3.625,16
Shree Rathnam,3.0,15
Aggarwal Sweets,0.7928571428571428,14
Frontier,2.8285714285714287,14
Bikanervala,3.192857142857143,14
Moti Mahal Delux,3.0,14
Behrouz Biryani,3.1846153846153844,13
Karim's,3.0307692307692307,13
Bikaner Sweets,1.3384615384615384,13
Apni Rasoi,1.9416666666666667,12
Chicago Pizza,2.3249999999999997,12
"34, Chowringhee Lane",2.7916666666666665,12
Madras Cafe,1.9181818181818182,11
Burger Point,3.1454545454545455,11
Wow! Momo,2.7545454545454544,11
Gopala,3.29,10
Nirula's Ice Cream,2.4000000000000004,9
Berco's,3.1666666666666665,9
Shama Chicken Corner,1.0777777777777777,9
Cocoberry,3.4222222222222225,9
Yo! China,2.988888888888889,9
Sardar A Pure Meat Shop,1.7222222222222223,9
Kebab Xpress,3.025,8
Ovenstory Pizza,2.5,8
Punjabi Tadka,2.55,8
Faasos,2.9375,8
Chowringhee,2.5625,8
Angels in my Kitchen,3.4125,8
Punjabi Chaap Corner,2.35,8
China Town,2.0285714285714285,7
Tpot,0.9714285714285715,7
Dolce Gelato,0.8857142857142858,7
Khan Chacha,2.4714285714285715,7
Tibb's Frankie,2.8428571428571425,7
The Yellow Chilli,3.6714285714285713,7
Chinese Hut,2.7285714285714286,7
RollsKing,3.6999999999999997,7
Slice of Italy,2.728571428571428,7
Chawla's�_,2.2714285714285714,7
Nazeer Foods,3.3285714285714287,7
Mocha,4.185714285714286,7
BTW,3.2857142857142856,7
The Beer Cafe,3.016666666666667,6
Kings Kulfi,2.2666666666666666,6
Farzi Cafe,4.366666666666666,6
Biryani Blues,3.6666666666666665,6
Pudding & Pie,3.1666666666666665,6
Wrapss,2.566666666666667,6
The Diet Kitchen,3.75,6
Bikaner Sweets & Restaurant,0.5166666666666667,6
Sanjha Chulha,2.4166666666666665,6
Al Bake,2.9499999999999997,6
Mr. Sub,2.5833333333333335,6
Southy,2.716666666666667,6
Mainland China,3.716666666666667,6
Goli Vada Pav No. 1,2.75,6
Cafe Coffee Day - The Lounge,2.8000000000000003,6
Punjabi Rasoi,1.25,6
Moti Mahal Delux Tandoori Trail,2.733333333333333,6
TGI Friday's,3.85,6
Kettle & Kegs,0.0,5
Da Pizza Corner,2.2600000000000002,5
Pita Pit,3.7,5
Swagath,3.62,5
Aggarwal Sweet Corner,1.26,5
Mad Over Donuts,3.7399999999999998,5
Chinese Corner,1.24,5
Chili's,4.58,5
Cake Point,1.7399999999999998,5
Captain Grub,3.54,5
Nathu's Sweets,2.7199999999999998,5
L'Opera,3.8200000000000003,5
Texas Roadhouse,3.8600000000000003,5
Aggarwal Sweet India,1.7,5
Viva Hyderabad,2.38,5
The Chinese Hut,2.8600000000000003,5
Kake Da Hotel,3.28,5
Shree Bikaner Misthan Bhandar,3.0,5
SGF - Spice Grill Flame,3.2,5
Instapizza,3.8,5
The Midnight Heroes,3.66,5
Flirty Momo's,2.92,5
Red Chilli,2.5,5
Nukkadwala,2.82,5
Happy Hakka,3.8600000000000003,5
Sandoz,2.4,5
Punjab Grill,4.34,5
Nando's,3.1399999999999997,5
Punjabi Zaika,2.35,4
Applebee's,3.9,4
Punjabi's Veg Grill,2.3,4
Kwality Wall's Swirl's,0.75,4
Hot Pot,2.075,4
Tea Villa Cafe,3.925,4
Super Cake Shop,2.05,4
Puri Bakers,3.725,4
Chawla's 2,1.7000000000000002,4
Qureshi's Kabab Corner,3.575,4
Hong Kong Express,3.475,4
Chaska,2.375,4
Zaika,2.85,4
Gola Sizzlers,3.3,4
Sugar & Spice - Le Marche,2.9,4
Mx Corn,0.775,4
Chai Point,3.1,4
Jungle Jamboree,3.8249999999999997,4
Jamie's Italian,4.05,4
FreshMenu,3.725,4
Kathi Junction,1.625,4
South Indian Hut,1.575,4
Gelato Vinto,2.975,4
AB's - Absolute Barbecues,4.825,4
Deez Biryani & Kebabs,3.6500000000000004,4
DCK- Dana Choga's Kitchen,3.125,4
Aapki Rasoi,1.525,4
Pirates of Grill,4.0249999999999995,4
GoGourmet,2.6500000000000004,4
Public Cafe,2.4,4
Colonel's Kababz,3.2,4
Rainbows,3.1,4
Open Oven,3.475,4
The Kathis,3.0,4
Nirula's,2.65,4
Big Chill,4.475,4
Burger Xpress,1.625,4
Pakwan,2.075,4
Momo-Cha,2.725,4
The Coffee Bean & Tea Leaf,3.425,4
Nizam's Kathi Kabab,3.65,4
Nite Bites,3.175,4
Bawarchi,3.125,4
Meatwale.com,0.0,4
Bun Intended,3.95,4
Chai Garam,0.725,4
Shawarma Wala,2.066666666666667,3
Urban Punjab,3.4333333333333336,3
Jaiveer Naan & Chaap,2.9,3
Foodies,0.0,3
The Fisherman's Wharf,4.266666666666667,3
Aggarwal Sweets India,1.7333333333333332,3
Foodhall,2.533333333333333,3
Food Scouts,4.433333333333334,3
Food Plaza,1.0666666666666667,3
Saravana Bhavan,4.133333333333334,3
Flying Cakes,2.2333333333333334,3
Pizza Station,2.1666666666666665,3
Joost Juice Bar,1.0666666666666667,3
Shahenshah,3.1333333333333333,3
Bikkgane Biryani,3.9666666666666663,3
Just Vada Pav,1.2,3
Muradabadi Shahi Biryani & Chicken Corner,1.9666666666666668,3
Finger Licious,2.1999999999999997,3
Onesta,4.5,3
Aggarwal Bikaner Sweets,1.0,3
D�_ner Grill,3.8000000000000003,3
KB's Kulfi & Icecream,3.133333333333333,3
Biryani By Kilo,4.0,3
The Golden Dragon,2.8333333333333335,3
Polka Pastry & Snack Bar,3.1,3
Om Sweets & Snacks,3.1333333333333333,3
Aggarwal Sweet Centre,0.0,3
Mamagoto,4.166666666666667,3
Side Wok,3.8666666666666667,3
Bake N Shake,4.2,3
Hasty Tasty,2.033333333333333,3
Midnight Hunger Hub,4.033333333333333,3
Habibi Express,1.5,3
Hangchuaa's Chinese Food Corner,2.966666666666667,3
Bats On Delivery,2.6999999999999997,3
Hard Rock Cafe,4.2,3
QD's Restaurant,4.033333333333333,3
Havmor Ice Cream,3.3666666666666667,3
Punjab Restaurant,3.266666666666667,3
Health Buzzz,3.1333333333333333,3
Mitra Da Dhaba,2.1,3
Hira Sweets,3.033333333333333,3
Niti Shake & Ice Cream Hub,1.2666666666666666,3
